Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter
VH-E3DFDBE0,OWN-CE7D8BDD,Mitsubishi,Pajero,2005,Sedan,Compliant,2024/06/13,2025-06-13,0.0,Agent,,Occasional Late,"Chegutu, Manicaland",Rural,Middle,3,4,7.36,2.2,0.483,Agent,2025-09-18,462,1,0.07,15.15,9,3
VH-C358BF3E,OWN-FBE36F89,Hyundai,Santa Fe,2009,Minivan,Non-compliant,2024-04-01,2024-08-31,,In-person,,Always Compliant,"Hwange, Harare",Peri-urban,Middle,1,0,0.54,1.8,0.529,Mobile Money,2024-06-28,88,3,3.72,11.7,6,2
VH-7F1214E9,OWN-0EDC1263,Honda,Accord,2007,Pickup,Compliant,2023-10-06,2024-10-05,0.0,Agent,,Always Compliant,"Zvishavane, Mashonaland West",Peri-urban,High,2,0,17.1,3.8,0.111,Agent,2025-05-07,579,0,0.0,3.21,5,2
VH-36A6A079,OWN-60B532EB,Kia,Rio,2001,SUV,Expired,2024-09-12,2024-02-09,,In-person,,Frequently Non-compliant,"Plumtree, Mashonaland Central",Peri-urban,Very High,2,1,29.4,,0.11,Online,2025-02-10,151,0,0.0,3.03,2,1
VH-15834F59,OWN-F61335D0,Land Rover,Range Rover,2000,Motorcycle,Compliant,2023-08-13,2024-08-12,0.0,Agent,,Always Compliant,"Plumtree, Mashonaland Central",Urban,Low,3,0,,,0.511,Mobile Money,2024-11-24,469,2,23.0,20.74,11,4
VH-04644791,OWN-133558F6,Mercedes-Benz,E-Class,2006,Pickup,Non-compliant,2023-07-23,2023-09-27,0.0,In-person,,Frequently Non-compliant,"Gwanda, Bulawayo",Rural,Very High,1,1,1.4,2.7,0.616,Online,2024-02-23,215,0,0.0,9.13,2,1
VH-0ED2594C,OWN-449FD635,JAC,S2,2022,Minivan,Compliant,2024-03-05,2025-03-05,0.0,Agent,,Always Compliant,"Masvingo, Mashonaland Central",Peri-urban,High,2,0,2.6,,0.001,Agent,2025-09-08,552,1,8.56,6.72,9,3
VH-623888D0,OWN-7F724D09,Mazda,323,2005,Truck,Compliant,2023-08-18,2024-08-17,0.0,Agent,,Always Compliant,"Victoria Falls, Mashonaland West",Peri-urban,High,2,2,3.2,2.0,0.276,Bank Transfer,2025-08-02,715,3,2.62,2.55,8,3
VH-10CD3725,OWN-987CBE62,Mazda,BT-50,2018,Minivan,Compliant,2025-04-16,2026-04-16,0.0,Agent,,Always Compliant,"Kadoma, Mashonaland Central",Rural,Middle,2,0,7.92,,0.418,Agent,2025-07-31,106,4,29.25,21.48,7,3
VH-898BFF77,OWN-2049BDFE,Chevrolet,Trailblazer,2022,Sedan,Compliant,2024-04-21,2025-04-21,0.0,Agent,,Occasional Late,"Bindura, Bulawayo",Peri-urban,,3,4,0.84,2.6,0.685,Bank Transfer,2024-06-12,52,0,0.0,3.97,6,2
VH-D2277901,OWN-5346C0C4,JAC,S2,2017,Motorcycle,Compliant,2025-04-02,2026-04-02,0.0,Online,OneMoney,Always Compliant,"Zvishavane, Masvingo",Rural,High,1,1,0.0,3.2,0.171,Online,2025-05-05,33,4,7.15,0.0,5,2
VH-DAEC708D,OWN-82896A35,Ford,Fiesta,2004,Truck,Compliant,2024-06-28,2025-06-28,0.0,Online,Ecocash,Occasional Late,"Gweru, Mashonaland East",Urban,High,1,0,0.0,3.9,0.408,Bank Transfer,2025-02-28,245,2,9.74,0.0,2,1
VH-A9CF5600,OWN-C9ECEAA8,Ford,Fiesta,2000,Motorcycle,Expired,2024-07-25,2024-07-16,2710.07,Online,Zinara Portal,Always Compliant,"Chegutu, Mashonaland Central",Rural,Very High,4,1,0.0,3.4,0.206,Cash,2025-05-13,292,1,9.73,0.0,5,2
VH-8FD9E654,OWN-6A69BA7C,Isuzu,MU-X,2020,Motorcycle,Compliant,2023-07-12,2024-07-11,0.0,Agent,,Always Compliant,"Lupane, Masvingo",Urban,Middle,1,0,1.89,,0.021,Mobile Money,2024-08-22,407,1,24.52,16.5,8,3
VH-84FB227B,OWN-0AD851D0,Isuzu,KB,2004,Sedan,Expired,2024-05-14,2023-08-18,0.0,In-person,,Always Compliant,"Bindura, Mashonaland Central",Peri-urban,Low,1,0,3.33,4.7,0.132,Online,2024-09-23,132,2,4.28,15.06,9,3
VH-ADDA77A0,OWN-994304EF,Toyota,Corolla,2003,Hatchback,Compliant,2024-01-16,2025-01-15,3810.38,Agent,,Always Compliant,"Shurugwi, Mashonaland West",Rural,Middle,1,2,2.99,,0.544,Online,2025-06-20,521,0,0.0,2.47,6,2
VH-DC551246,OWN-53B5A406,BMW,3 Series,2016,Motorcycle,Expired,2025-01-27,2024-06-22,,Online,OneMoney,Frequently Non-compliant,"Bindura, Manicaland",Urban,Low,1,0,,,0.956,Agent,2025-10-16,262,2,2.29,0.0,10,4
VH-245456CC,OWN-A54B6453,Audi,A3,2011,Sedan,Compliant,2023-05-09,2024-05-08,0.0,Online,Innbucks,Always Compliant,"Bulawayo, Midlands",Urban,High,2,0,0.0,,0.499,Agent,2024-05-15,372,2,24.32,0.0,5,2
VH-D09DF87B,OWN-E215C434,Nissan,Navara,2004,Motorcycle,Compliant,2023-03-09,2024-03-08,,Online,Ecocash,Frequently Non-compliant,"Chiredzi, Manicaland",Peri-urban,Middle,1,0,0.0,,0.385,Agent,2024-08-09,519,3,12.71,0.0,8,3
VH-E8BD6B9B,OWN-A27C8D71,Kia,Rio,2004,Motorcycle,Compliant,2022-11-15,2023-11-15,0.0,Agent,,Occasional Late,"Chiredzi, Mashonaland Central",Peri-urban,Very High,2,2,1.13,1.9,0.087,Agent,2024-06-18,581,0,0.0,4.88,6,2
VH-612F5022,OWN-0D5C225F,Toyota,RAV4,2017,Pickup,Expired,2024-05-17,2023-12-18,2328.92,Agent,,Always Compliant,"Gweru, Bulawayo",Urban,Middle,1,0,2.32,3.8,0.377,Online,2024-11-05,172,5,28.95,8.92,11,4
VH-61F06DCA,OWN-4A16689C,Mazda,BT-50,2015,Motorcycle,Compliant,2025-02-28,2026-02-28,0.0,Agent,,Always Compliant,"Kariba, Manicaland",Urban,Middle,1,2,1.62,4.8,0.47,Agent,2025-06-18,110,3,23.44,16.69,6,2
VH-2EE49239,OWN-4A7E6886,BMW,3 Series,2004,Sedan,Non-compliant,2023-12-01,2023-11-06,0.0,Agent,,Always Compliant,"Chiredzi, Harare",Rural,High,4,3,4.66,2.7,0.157,Online,2024-06-12,194,4,11.33,22.83,6,2
VH-3E7E9E1D,OWN-FF18AD86,Isuzu,D-Max,2019,Sedan,Non-compliant,2022-07-07,2022-07-16,0.0,Online,OneMoney,Occasional Late,"Masvingo, Masvingo",Urban,Very High,1,0,0.0,1.8,0.108,Online,2024-04-16,649,2,18.1,0.0,4,2
VH-0368465E,OWN-946306FB,Audi,A3,2007,Truck,Compliant,2024-01-27,2025-01-26,0.0,Online,Zinara Portal,Frequently Non-compliant,"Kwekwe, Matabeleland South",Urban,Middle,1,0,0.0,3.3,0.79,Online,2024-03-08,41,0,0.0,0.0,3,1
VH-29D79249,OWN-04422BA9,Audi,A3,2009,Sedan,Compliant,2023/10/19,2024-10-18,3642.16,In-person,,Occasional Late,"Chegutu, Mashonaland East",Peri-urban,Low,2,1,2.98,,0.796,Cash,2024-12-22,430,4,26.06,0.9,12,4
VH-4E50C1AB,OWN-89A2BCBD,Mitsubishi,Pajero,2021,Pickup,Compliant,2023-04-07,2024-04-06,0.0,Online,Telecash,Always Compliant,"Chitungwiza, Bulawayo",Rural,High,1,0,0.0,,0.623,Cash,2025/04/03,727,0,0.0,0.0,4,2
VH-4D85CCB8,OWN-690B7D91,Hyundai,Santa Fe,2006,Hatchback,Compliant,2024-02-10,2025-02-09,0.0,Online,Zinara Portal,Always Compliant,"Kariba, Bulawayo",Urban,Very High,1,2,0.0,1.6,0.28,Agent,2024-06-18,129,2,2.68,0.0,6,2
VH-47975689,OWN-86EC696B,Mitsubishi,Triton,2008,Pickup,Expired,2023-11-02,2023-02-25,,Online,Innbucks,Always Compliant,"Chinhoyi, Matabeleland North",Rural,Middle,1,0,0.0,2.3,0.083,Cash,2025-07-06,612,4,13.5,0.0,7,3
VH-9C71B8EC,OWN-A44AEBA5,Ford,Focus,2020,Sedan,Non-compliant,2025-04-27,2025-05-20,0.0,In-person,,Always Compliant,"Shurugwi, Mashonaland Central",Rural,Very High,2,0,2.17,3.1,0.818,Online,2025/11/01,188,0,0.0,4.33,11,4
VH-69CE4F43,OWN-A36CFF7A,Mazda,323,2024,Pickup,Compliant,2023-02-15,2024-02-15,,Agent,,Always Compliant,"Kadoma, Masvingo",Peri-urban,Middle,4,0,3.91,,0.568,Bank Transfer,2024-11-24,648,3,1.87,19.4,11,4
VH-BBB0B153,OWN-081ED3D5,Kia,Picanto,2006,Sedan,Compliant,2023-04-16,2024/04/15,0.0,In-person,,Always Compliant,"Kadoma, Harare",Rural,Very High,3,0,2.74,2.0,0.831,Online,2025-02-24,680,3,10.26,18.08,2,1
VH-5AF661A8,OWN-405AE362,Mitsubishi,Pajero,2011,Pickup,Compliant,2024-02-07,2025-02-06,0.0,In-person,,Occasional Late,"Victoria Falls, Matabeleland North",Rural,,1,0,4.71,2.3,0.986,Agent,2025-05-29,477,0,0.0,3.61,5,2
VH-4B0E205E,OWN-7B2D6FB6,Chevrolet,Spark,2015,Motorcycle,Compliant,2024-04-22,2025/04/22,,Online,OneMoney,Occasional Late,"Marondera, Bulawayo",Rural,Low,1,2,0.0,,0.696,Mobile Money,2024-05-25,33,4,11.33,0.0,5,2
VH-1167B178,OWN-140F3DC4,Land Rover,Defender,2006,Minivan,Non-compliant,2024-11-19,2025-03-26,,Online,OneMoney,Always Compliant,"Ruwa, Harare",Peri-urban,Very High,1,1,0.0,3.1,0.765,Online,2025-10-24,339,1,13.76,0.0,10,4
VH-3A0FD67B,OWN-DB44F74E,Land Rover,Defender,2017,Hatchback,Compliant,2022-01-08,2023-01-08,0.0,In-person,,Always Compliant,"Kwekwe, Matabeleland South",Peri-urban,Low,1,1,,1.4,0.75,Bank Transfer,2024-01-04,726,4,2.99,10.66,1,1
VH-E174AB2B,OWN-25A9F5DF,Haval,H6,2021,Truck,Non-compliant,2023-03-01,2023-03-29,0.0,Agent,,Always Compliant,"Bindura, Mashonaland Central",Urban,Very High,1,0,3.6,,0.284,Agent,2024-04-24,420,2,25.15,19.08,4,2
VH-5543206C,OWN-F92F2469,Kia,Sorento,2000,Pickup,Compliant,2023-04-10,2024-04-09,0.0,Online,OneMoney,Always Compliant,"Bulawayo, Harare",Urban,Middle,2,0,,2.6,0.052,Bank Transfer,2024-10-22,561,3,3.87,0.0,10,4
VH-91156AA1,OWN-CCB279C5,Hyundai,Santa Fe,2012,Truck,Compliant,2023-06-07,2024-06-06,0.0,Online,Ecocash,Always Compliant,"Hwange, Manicaland",Peri-urban,Middle,4,1,0.0,,0.437,Bank Transfer,2023-11-13,159,1,0.83,0.0,11,4
VH-8F8E900B,OWN-6988813A,Great Wall,Wingle,2018,Pickup,Compliant,2024/04/01,2025-04-01,1236.62,Online,Paynow,Occasional Late,"Harare, Manicaland",Peri-urban,,3,0,0.0,,0.935,Online,2024-11-08,221,5,29.54,0.0,11,4
VH-E6AEE586,OWN-EB510F43,Mazda,BT-50,2014,Hatchback,Compliant,2025-01-04,2026-01-04,433.04,In-person,,Always Compliant,"Mutare, Bulawayo",Urban,Very High,3,3,3.43,3.5,0.21,Cash,2025-05-09,125,3,26.69,15.21,5,2
VH-885D5C48,OWN-884B8729,Chevrolet,Spark,2005,Truck,Compliant,2023-12-27,2024-12-26,0.0,Online,Telecash,Occasional Late,"Harare, Manicaland",Rural,Low,1,0,0.0,1.8,0.03,Online,2024-02-27,62,4,15.35,0.0,2,1
VH-00612172,OWN-2971522B,Honda,Civic,2011,Sedan,Compliant,2025-03-10,2026-03-10,0.0,Agent,,Occasional Late,"Kadoma, Harare",Peri-urban,High,1,4,,4.8,0.922,Agent,2025-08-16,159,1,5.94,20.3,8,3
VH-04DC3EA4,OWN-2A54606D,Volkswagen,Amarok,2003,Hatchback,Compliant,2023-11-01,2024-10-31,,Agent,,Always Compliant,"Lupane, Midlands",Peri-urban,Low,2,0,6.62,,0.633,Online,2025-04-13,529,3,5.02,0.81,4,2
VH-B6F092F6,OWN-AEEC38DE,JAC,S2,2018,Pickup,Expired,2023-04-21,2022-09-29,0.0,In-person,,Always Compliant,"Norton, Midlands",Rural,Low,1,0,31.8,,0.314,Online,2024-05-15,390,2,20.65,17.2,5,2
VH-3CFC34C2,OWN-D20BFCC6,Isuzu,D-Max,2018,Motorcycle,Compliant,2023-04-18,2024-04-17,0.0,Online,Telecash,Occasional Late,"Marondera, Mashonaland Central",Rural,Low,2,0,0.0,2.7,0.813,Mobile Money,2025-01-23,646,1,1.49,0.0,1,1
VH-92A6CC0A,OWN-5E31909F,Foton,View,2001,Truck,Compliant,2023/03/06,2024-03-05,0.0,In-person,,Always Compliant,"Bindura, Bulawayo",Urban,Low,4,0,5.33,2.6,0.896,Bank Transfer,2024-03-04,364,0,0.0,8.1,3,1
VH-903C24D5,OWN-3AE86FF6,Toyota,Hilux,2015,Sedan,Compliant,2023-09-08,2024-09-07,0.0,In-person,,Occasional Late,"Bindura, Mashonaland East",Peri-urban,Very High,1,0,3.45,4.4,0.938,Online,2024-11-20,439,0,0.0,5.38,11,4
VH-422C94E5,OWN-ED41F2FB,Toyota,Fortuner,2003,Truck,Compliant,2024-03-17,2025-03-17,0.0,Online,Zinara Portal,Always Compliant,"Gwanda, Masvingo",Urban,High,3,0,0.0,,0.304,Agent,2025-04-28,407,2,20.64,0.0,4,2
VH-FA075BE7,OWN-42C6BE95,Hyundai,i10,2022,SUV,Compliant,2024-06-20,2025-06-20,3777.52,Agent,,Always Compliant,"Gweru, Midlands",Peri-urban,Low,2,4,5.28,3.0,0.281,Cash,2024-12-18,181,1,2.75,18.39,12,4
VH-15CE3CDD,OWN-46E1C37F,Nissan,Sunny,2017,Motorcycle,Compliant,2024-03-22,2025-03-22,,Agent,,Occasional Late,"Masvingo, Mashonaland Central",Rural,Low,1,0,1.91,3.1,0.313,Agent,2024-06-21,91,5,13.62,3.7,6,2
VH-45B6BAEE,OWN-7C5C8A8D,JAC,T6,2004,SUV,Non-compliant,2023-10-09,2024/03/31,0.0,Agent,,Occasional Late,"Chegutu, Masvingo",Peri-urban,Low,1,0,7.64,2.0,0.894,Mobile Money,2024-06-02,237,2,0.86,15.89,6,2
VH-2D4EAB4E,OWN-9EC18E9D,Chevrolet,Cruze,2008,Sedan,Compliant,2024-03-29,2025-03-29,,Agent,,Occasional Late,"Redcliff, Bulawayo",Peri-urban,Low,2,0,,2.2,0.403,Bank Transfer,2025-06-08,436,2,15.89,11.85,6,2
VH-99699E8B,OWN-47FAB19C,Kia,Sportage,2021,Sedan,Compliant,2025-07-12,2026-07-12,0.0,Agent,,Always Compliant,"Chiredzi, Mashonaland Central",Urban,Very High,1,0,2.2,4.5,0.268,Mobile Money,2025-09-16,66,1,23.57,8.34,9,3
VH-BE1D493B,OWN-121946F2,BMW,X3,2023,Sedan,Expired,2022-09-11,2022-04-07,0.0,Online,Zinara Portal,Occasional Late,"Mutare, Manicaland",Rural,Middle,1,0,0.0,,0.013,Cash,2024-02-11,518,3,10.02,0.0,2,1
VH-AA2B3FB2,OWN-A04BA5FB,Mitsubishi,Outlander,2002,SUV,Compliant,2022-10-24,2023-10-24,54.98,In-person,,Always Compliant,"Plumtree, Harare",Rural,,3,0,6.64,,0.147,Online,2024-07-12,627,0,0.0,7.31,7,3
VH-A731E6D8,OWN-080F9947,Audi,Q7,2015,Minivan,Compliant,2024-01-17,2025-01-16,2320.82,Agent,,Occasional Late,"Chegutu, Matabeleland South",Peri-urban,Very High,1,0,7.19,1.1,0.979,Mobile Money,2025-02-23,403,5,29.82,8.57,2,1
VH-28BC6A6B,OWN-8915577A,Toyota,Land Cruiser,2018,Minivan,Compliant,2024-12-25,2025-12-25,0.0,Agent,,Occasional Late,"Gwanda, Masvingo",Peri-urban,Very High,5,0,7.08,,0.91,Agent,2025-08-10,228,2,11.73,10.02,8,3
VH-13491290,OWN-54F36E94,Volkswagen,Tiguan,2006,Sedan,Compliant,2023-09-19,2024-09-18,0.0,Agent,,Occasional Late,"Ruwa, Matabeleland South",Rural,Low,1,4,2.66,1.6,0.967,Bank Transfer,2024-02-21,155,4,19.93,7.29,2,1
VH-ACC3920B,OWN-8F1D93B5,BMW,3 Series,2009,Sedan,Compliant,2023-10-08,2024-10-07,0.0,Online,Zinara Portal,Always Compliant,"Beitbridge, Harare",Urban,Low,1,0,,,0.859,Bank Transfer,2024-03-12,156,1,28.61,0.0,3,1
VH-1850D0DE,OWN-7308BB7F,Volkswagen,Golf,2023,SUV,Compliant,2024-05-12,2025-05-12,0.0,Agent,,Frequently Non-compliant,"Bindura, Midlands",Urban,Low,3,1,3.67,1.7,0.436,Agent,2025-10-08,514,4,4.18,18.42,10,4
VH-470788FF,OWN-D847E0E4,Volkswagen,Golf,2013,Hatchback,Compliant,2022-06-05,2023-06-05,0.0,Agent,,Always Compliant,"Kadoma, Mashonaland East",Peri-urban,Very High,2,1,,2.4,0.354,Cash,2024-04-08,673,3,28.84,11.07,4,2
VH-D2503D20,OWN-0E6924A2,Great Wall,Wingle,2024,Pickup,Expired,2023-06-21,2022-10-01,0.0,Agent,,Occasional Late,"Chitungwiza, Manicaland",Rural,Very High,1,2,0.9,4.1,0.518,Online,2025-03-06,624,0,0.0,1.31,3,1
VH-AB6767D5,OWN-1272D47C,Mazda,Demio,2019,Sedan,Compliant,2025-04-07,2026-04-07,0.0,In-person,,Frequently Non-compliant,"Norton, Midlands",Peri-urban,Middle,2,1,5.76,,0.895,Mobile Money,2025-09-08,154,2,18.85,17.26,9,3
VH-F3FC5BDE,OWN-27BFF189,Toyota,Yaris,2019,Minivan,Compliant,2023-09-30,2024-09-29,,In-person,,Frequently Non-compliant,"Kadoma, Bulawayo",Urban,Very High,1,0,6.75,,0.484,Mobile Money,2024-03-01,153,1,25.25,13.12,3,1
VH-68C95417,OWN-D17C621B,Chevrolet,Trailblazer,2019,Sedan,Compliant,2023-07-15,2024-07-14,0.0,In-person,,Always Compliant,"Bindura, Manicaland",Rural,High,1,1,4.07,2.5,0.275,Cash,2025-06-17,703,5,24.0,11.14,6,2
VH-81D29257,OWN-759B3B09,Kia,Sorento,2000,Truck,Compliant,2023-04-20,2024-04-19,,Agent,,Always Compliant,"Beitbridge, Bulawayo",Rural,High,4,1,0.82,2.1,0.982,Agent,2024-03-25,340,4,25.68,12.08,3,1
VH-F82A37DC,OWN-C7FD99CF,Land Rover,Range Rover,2016,Pickup,Compliant,2022-12-14,2023-12-14,0.0,In-person,,Always Compliant,"Hwange, Bulawayo",Urban,High,4,1,2.59,2.9,0.963,Bank Transfer,2024-11-14,701,5,5.41,17.0,11,4
VH-945F505B,OWN-10B8E510,JAC,M1,2016,Truck,Expired,2023-03-01,2022-04-18,0.0,Online,Paynow,Always Compliant,"Gweru, Mashonaland West",Rural,Middle,1,0,0.0,2.9,0.76,Mobile Money,2024-11-18,628,0,0.0,0.0,11,4
VH-9DF9CD9A,OWN-3557045D,Mitsubishi,Triton,2024,Pickup,Compliant,2025-06-20,2026-06-20,0.0,In-person,,Always Compliant,"Chitungwiza, Harare",Rural,High,1,1,7.43,,0.637,Bank Transfer,2025-10-02,104,1,5.87,11.79,10,4
VH-9B82ED62,OWN-5BC1BFAE,BMW,5 Series,2006,Minivan,Non-compliant,2024-12-30,2025-09-24,,In-person,,Always Compliant,"Kwekwe, Masvingo",Rural,Low,1,0,6.58,1.3,0.185,Bank Transfer,2025-04-27,118,3,5.7,4.98,4,2
VH-6EBC3139,OWN-661D259D,Foton,Sauvana,2011,Truck,Non-compliant,2023-05-08,2024-02-22,0.0,Online,Ecocash,Always Compliant,"Kariba, Matabeleland South",Urban,Low,1,0,0.0,2.3,0.224,Agent,2024-08-17,467,2,11.71,0.0,8,3
VH-6775F5C2,OWN-F3EEAD04,Land Rover,Defender,2005,Truck,Compliant,2022-08-12,2023-08-12,0.0,Online,Zinara Portal,Frequently Non-compliant,"Chitungwiza, Matabeleland South",Rural,Very High,4,0,0.0,1.1,0.421,Mobile Money,2024-05-28,655,2,26.64,0.0,5,2
VH-9271E5E1,OWN-3B36C064,Ford,Everest,2006,Hatchback,Expired,2024-12-10,2024-04-01,410.91,Online,Zinara Portal,Frequently Non-compliant,"Shurugwi, Mashonaland West",Rural,High,5,3,0.0,3.4,0.081,Bank Transfer,2025-09-07,271,3,28.4,0.0,9,3
VH-AD3E1946,OWN-AA80B468,Volkswagen,Polo,2003,Sedan,Compliant,2023-03-25,2024-03-24,1551.92,In-person,,Occasional Late,"Victoria Falls, Matabeleland South",Urban,Low,3,4,7.48,4.4,0.682,Online,2024-08-25,519,4,14.47,9.29,8,3
VH-FCFA7906,OWN-2687D897,Hyundai,Santa Fe,2013,Minivan,Compliant,2023-09-21,2024-09-20,0.0,Agent,,Always Compliant,"Bindura, Matabeleland South",Urban,Middle,1,0,7.39,,0.747,Bank Transfer,2025-07-12,660,4,1.37,19.24,7,3
VH-CF04BB15,OWN-55167601,Mercedes-Benz,Sprinter,2002,Sedan,Compliant,2023-12-01,2024-11-30,3031.96,In-person,,Occasional Late,"Gweru, Matabeleland North",Urban,Very High,2,5,5.05,,0.938,Mobile Money,2024-12-23,388,3,21.16,19.52,12,4
VH-8A7FC87B,OWN-BB2BEA19,Mercedes-Benz,E-Class,2022,Truck,Non-compliant,2023-08-13,2023-11-27,0.0,Agent,,Always Compliant,"Chegutu, Matabeleland South",Peri-urban,Very High,1,0,,,0.976,Mobile Money,2025-03-04,569,2,22.26,5.06,3,1
VH-73C16193,OWN-506B7950,Land Rover,Range Rover,2004,Sedan,Non-compliant,2025-05-26,2026-01-06,0.0,Agent,,Occasional Late,"Masvingo, Matabeleland North",Rural,Low,1,0,67.0,1.1,0.383,Cash,2025-07-16,51,0,0.0,5.39,7,3
VH-0E979AAC,OWN-1C08AAD9,Hyundai,Santa Fe,2021,Pickup,Compliant,2023-04-14,2024-04-13,4689.26,Agent,,Always Compliant,"Redcliff, Harare",Rural,High,3,1,7.42,2.4,0.829,Cash,2024-05-04,386,3,23.48,22.29,5,2
VH-BD823A2A,OWN-C9844373,Ford,Ranger,2017,Pickup,Compliant,2022-07-31,2023-07-31,,Agent,,Always Compliant,"Shurugwi, Mashonaland East",Rural,,1,4,6.09,4.8,0.086,Mobile Money,2024-04-02,611,4,8.87,13.71,4,2
VH-04EFD27D,OWN-E672CF2A,Ford,Focus,2008,Truck,Non-compliant,2024-01-15,2024-02-17,0.0,In-person,,Always Compliant,"Chinhoyi, Mashonaland East",Rural,Low,1,2,3.83,,0.844,Mobile Money,2024-02-26,42,3,1.76,22.53,2,1
VH-D8DB85A3,OWN-F5C274A2,Volkswagen,Tiguan,2002,Pickup,Compliant,2024-01-13,2025-01-12,0.0,Online,Zinara Portal,Always Compliant,"Kwekwe, Mashonaland East",Peri-urban,,1,2,0.0,,0.58,Online,2024-06-21,160,4,21.52,0.0,6,2
VH-7DAC4A21,OWN-6688E780,Ford,Fiesta,2008,Truck,Non-compliant,2023-06-09,2023-11-05,0.0,In-person,,Occasional Late,"Harare, Mashonaland West",Rural,High,2,0,2.28,1.3,0.426,Agent,2024-03-05,270,1,0.74,14.57,3,1
VH-BE14DC26,OWN-3E948EAB,Land Rover,Discovery,2013,Minivan,Compliant,2024-04-17,2025-04-17,270.82,In-person,,Always Compliant,"Chegutu, Matabeleland North",Peri-urban,Middle,3,3,1.3,,0.581,Agent,2025-05-29,407,1,11.37,13.98,5,2
VH-E64243DB,OWN-512516AA,Honda,Fit,2024,Minivan,Compliant,2022-05-26,2023-05-26,0.0,Online,Zinara Portal,Always Compliant,"Chitungwiza, Bulawayo",Urban,,2,1,0.0,1.8,0.575,Mobile Money,2024-03-31,675,2,7.29,0.0,3,1
VH-76FE3E16,OWN-D7489D11,Land Rover,Defender,2014,Truck,Compliant,2023-08-13,2024-08-12,0.0,Agent,,Always Compliant,"Shurugwi, Bulawayo",Rural,Middle,1,0,5.4,4.3,0.125,Bank Transfer,2024-09-16,400,1,23.29,9.78,9,3
VH-4E823080,OWN-F3515A6B,Haval,Jolion,2004,Hatchback,Compliant,2024-05-27,2025-05-27,2134.06,Online,Paynow,Always Compliant,"Chinhoyi, Mashonaland East",Peri-urban,Middle,3,0,0.0,,0.263,Bank Transfer,2025-08-18,448,5,27.9,0.0,8,3
VH-56A6439C,OWN-B4C18A20,Mazda,CX-5,2001,Motorcycle,Compliant,2025-03-15,2026-03-15,0.0,Agent,,Always Compliant,"Bindura, Harare",Rural,Very High,2,0,3.16,,0.337,Agent,2025-08-27,165,4,18.26,2.59,8,3
VH-1EE08369,OWN-DCA05D17,Ford,Ranger,2023,Truck,Compliant,2023-09-29,2024-09-28,0.0,Online,Telecash,Always Compliant,"Beitbridge, Masvingo",Rural,Low,1,1,0.0,3.7,0.454,Agent,2024-08-20,326,3,5.3,0.0,8,3
VH-2E8FD958,OWN-E861CDA3,Haval,H9,2024,Sedan,Compliant,2022-09-29,2023-09-29,0.0,Agent,,Always Compliant,"Masvingo, Mashonaland East",Peri-urban,Very High,1,2,2.64,,0.814,Mobile Money,2024-04-11,560,3,15.57,13.8,4,2
VH-017B404A,OWN-7E33CD2D,Audi,A3,2011,Truck,Compliant,2023-12-02,2024/12/01,,Online,Zinara Portal,Always Compliant,"Kwekwe, Bulawayo",Peri-urban,Middle,2,3,,,0.839,Mobile Money,2024-08-17,259,0,0.0,0.0,8,3
VH-0F7042F5,OWN-742F01B4,Ford,Focus,2017,Motorcycle,Non-compliant,2024-09-01,2024-11-14,1445.1,Agent,,Always Compliant,"Kadoma, Harare",Peri-urban,Very High,1,0,4.41,4.4,0.444,Cash,2025-10-14,408,3,7.89,20.75,10,4
VH-B6AD57EB,OWN-EC6B6537,Volkswagen,Polo,2011,Motorcycle,Compliant,2023-12-01,2024-11-30,0.0,Online,Zinara Portal,Always Compliant,"Chitungwiza, Mashonaland Central",Rural,High,3,1,0.0,,0.705,Bank Transfer,2025-06-02,549,2,5.71,0.0,6,2
VH-F7BE56A1,OWN-60B1B1CF,Great Wall,Steed,2020,Sedan,Compliant,2024-02-08,2025-02-07,0.0,In-person,,Occasional Late,"Chiredzi, Harare",Urban,High,1,0,6.0,,0.516,Mobile Money,2024-10-20,255,0,0.0,10.42,10,4
VH-411EBBD4,OWN-605CE4AB,Foton,Sauvana,2019,SUV,Compliant,2023/04/27,2024-04-26,0.0,Agent,,Occasional Late,"Gwanda, Manicaland",Urban,Middle,3,1,,3.7,0.49,Cash,2025-02-13,658,4,10.71,11.54,2,1
VH-475E9E0B,OWN-F91AAFC7,Mazda,CX-5,2003,Motorcycle,Expired,2024-03-03,2023-03-29,0.0,Online,Zinara Portal,Occasional Late,"Lupane, Mashonaland East",Peri-urban,High,2,4,0.0,2.9,0.805,Cash,2024-12-11,283,4,12.36,0.0,12,4
VH-A3B291E8,OWN-928B7440,Mercedes-Benz,Sprinter,2009,Truck,Compliant,2024-02-21,2025-02-20,0.0,Agent,,Occasional Late,"Hwange, Mashonaland Central",Peri-urban,Low,1,2,,,0.309,Cash,2024-12-14,297,1,17.18,4.0,12,4
